# label	path
1	out/xo/training_set/x_000.txt
1	out/xo/training_set/x_001.txt
1	out/xo/training_set/x_002.txt
1	out/xo/training_set/x_003.txt
1	out/xo/training_set/x_004.txt
1	out/xo/training_set/x_005.txt
1	out/xo/training_set/x_006.txt
1	out/xo/training_set/x_007.txt
1	out/xo/training_set/x_008.txt
1	out/xo/training_set/x_009.txt
1	out/xo/training_set/x_010.txt
1	out/xo/training_set/x_011.txt
1	out/xo/training_set/x_012.txt
1	out/xo/training_set/x_013.txt
1	out/xo/training_set/x_014.txt
1	out/xo/training_set/x_015.txt
1	out/xo/training_set/x_016.txt
1	out/xo/training_set/x_017.txt
1	out/xo/training_set/x_018.txt
1	out/xo/training_set/x_019.txt
1	out/xo/training_set/x_020.txt
1	out/xo/training_set/x_021.txt
1	out/xo/training_set/x_022.txt
1	out/xo/training_set/x_023.txt
1	out/xo/training_set/x_024.txt
1	out/xo/training_set/x_025.txt
1	out/xo/training_set/x_026.txt
1	out/xo/training_set/x_027.txt
1	out/xo/training_set/x_028.txt
1	out/xo/training_set/x_029.txt
1	out/xo/training_set/x_030.txt
1	out/xo/training_set/x_031.txt
1	out/xo/training_set/x_032.txt
1	out/xo/training_set/x_033.txt
1	out/xo/training_set/x_034.txt
1	out/xo/training_set/x_035.txt
1	out/xo/training_set/x_036.txt
1	out/xo/training_set/x_037.txt
1	out/xo/training_set/x_038.txt
1	out/xo/training_set/x_039.txt
1	out/xo/training_set/x_040.txt
1	out/xo/training_set/x_041.txt
1	out/xo/training_set/x_042.txt
1	out/xo/training_set/x_043.txt
1	out/xo/training_set/x_044.txt
1	out/xo/training_set/x_045.txt
1	out/xo/training_set/x_046.txt
1	out/xo/training_set/x_047.txt
1	out/xo/training_set/x_048.txt
1	out/xo/training_set/x_049.txt
1	out/xo/training_set/x_050.txt
1	out/xo/training_set/x_051.txt
1	out/xo/training_set/x_052.txt
1	out/xo/training_set/x_053.txt
1	out/xo/training_set/x_054.txt
1	out/xo/training_set/x_055.txt
1	out/xo/training_set/x_056.txt
1	out/xo/training_set/x_057.txt
1	out/xo/training_set/x_058.txt
1	out/xo/training_set/x_059.txt
1	out/xo/training_set/x_060.txt
1	out/xo/training_set/x_061.txt
1	out/xo/training_set/x_062.txt
1	out/xo/training_set/x_063.txt
0	out/xo/training_set/o_000.txt
0	out/xo/training_set/o_001.txt
0	out/xo/training_set/o_002.txt
0	out/xo/training_set/o_003.txt
0	out/xo/training_set/o_004.txt
0	out/xo/training_set/o_005.txt
0	out/xo/training_set/o_006.txt
0	out/xo/training_set/o_007.txt
0	out/xo/training_set/o_008.txt
0	out/xo/training_set/o_009.txt
0	out/xo/training_set/o_010.txt
0	out/xo/training_set/o_011.txt
0	out/xo/training_set/o_012.txt
0	out/xo/training_set/o_013.txt
0	out/xo/training_set/o_014.txt
0	out/xo/training_set/o_015.txt
0	out/xo/training_set/o_016.txt
0	out/xo/training_set/o_017.txt
0	out/xo/training_set/o_018.txt
0	out/xo/training_set/o_019.txt
0	out/xo/training_set/o_020.txt
0	out/xo/training_set/o_021.txt
0	out/xo/training_set/o_022.txt
0	out/xo/training_set/o_023.txt
0	out/xo/training_set/o_024.txt
0	out/xo/training_set/o_025.txt
0	out/xo/training_set/o_026.txt
0	out/xo/training_set/o_027.txt
0	out/xo/training_set/o_028.txt
0	out/xo/training_set/o_029.txt
0	out/xo/training_set/o_030.txt
0	out/xo/training_set/o_031.txt
0	out/xo/training_set/o_032.txt
0	out/xo/training_set/o_033.txt
0	out/xo/training_set/o_034.txt
0	out/xo/training_set/o_035.txt
0	out/xo/training_set/o_036.txt
0	out/xo/training_set/o_037.txt
0	out/xo/training_set/o_038.txt
0	out/xo/training_set/o_039.txt
0	out/xo/training_set/o_040.txt
0	out/xo/training_set/o_041.txt
0	out/xo/training_set/o_042.txt
0	out/xo/training_set/o_043.txt
0	out/xo/training_set/o_044.txt
0	out/xo/training_set/o_045.txt
0	out/xo/training_set/o_046.txt
0	out/xo/training_set/o_047.txt
0	out/xo/training_set/o_048.txt
0	out/xo/training_set/o_049.txt
0	out/xo/training_set/o_050.txt
0	out/xo/training_set/o_051.txt
0	out/xo/training_set/o_052.txt
0	out/xo/training_set/o_053.txt
0	out/xo/training_set/o_054.txt
0	out/xo/training_set/o_055.txt
0	out/xo/training_set/o_056.txt
0	out/xo/training_set/o_057.txt
0	out/xo/training_set/o_058.txt
0	out/xo/training_set/o_059.txt
0	out/xo/training_set/o_060.txt
0	out/xo/training_set/o_061.txt
0	out/xo/training_set/o_062.txt
0	out/xo/training_set/o_063.txt
